Position	Filename	Barcode	Family	Subfamily	Genus	Species	Genus_species	GBIF.ID	Country	State.or.Province	County	City	Locality	Image.Source	Notes	Brightness.Mean	Brightness.Median	Brightness.Standard.Deviation	bee_surface.area	hair_surface_area	pilosity	pilosity_percentage	abs_latitude	Taxonomic_Info	precip_annual	precip_seasonality	vapr	srad	tmin_coldest_month	temp_annual	temp_seasonality	tmax_hottest_month	sqrt_precip_annual	log_precip_seasonality	sqrt_temp_seasonality	sqrt_lightness	wwf_biome	collapsed_biomes	geometry	
11	SEMC1074274_Nomioides_divisus_F_hal_65_4x.jpg	SEMC1074274	Halictidae	Nomioidinae	Nomioides	divisus	Nomioides_divisus							KU		69.73265	58	51.8656	5537030	1828999	33.03%	33.03	30.84	Nomioides_facilis~Halictidae~Nomioidinae~na	669	680.0819	1.929167	19.00758	26.7	23.80833	728.6158	39.8	25.86503	6.522213	26.99289	7.615773	13	POINT (75.82 30.84)	Deserts & Xeric Shrublands	
12	SM0748085_Pararhophites_orobinus_F_hal_65_4x.jpg	SM0748085	Megachilidae	Pararhophitinae	Pararhophites	orobinus	Pararhophites_orobinus							KU		123.8107529	127	61.60992432	4979503	4001213	80.35%	80.35	42.1333333	Pararhophites_orobinus~Megachilidae~Pararhophitinae~Pararhophitini	98	49.51277766	0.81999999	16.56216667	21.29999924	12.49166655	1212.671407	36.70000076	9.899494937	3.902230771	34.82343187	11.26942767	13	Deserts & Xeric Shrublands	c(60.35	 42.1333333)
13	SM0416689_Paranomada_velutina_F_hal_65_3x.jpg	SM0416689	Apidae	Nomadinae	Paranomada	velutina	Paranomada_velutina							KU		97.0622406	89	63.74320221	4700503	2796598	59.50%	59.5	31.83528	Paranomada_velutina~Apidae~Nomadinae~Brachynomadini	302	205.2862008	0.786666671	19.57558333	17.70000076	16.29999995	742.3794735	35.5	17.3781472	5.324405107	27.24664151	9.433981132	13	Deserts & Xeric Shrublands	c(-109.0306	 31.83528)
14	SM0414717_Paragapostemon_coelestinus_F_hal_65_2x.jpg	SM0414717	Halictidae	Halictinae	Paragapostemon	coelestinus	Paragapostemon_coelestinus		Mexico	Hidalgo		Tepeapulco		KU		96.66847992	90	59.02212143	4396005	2343120	53.30%	53.3	19.8	Paragapostemon	459	311.2182806	1.003333345	18.53383333	8.899999619	14.34166678	177.8895886	25.5	21.42428529	5.740494533	13.33752558	9.486832981	13	Deserts & Xeric Shrublands	c(-98.6	 19.8)
15	SM0414612_Mexalictus_mexicanus_F_hal_65_3x.jpg	SM0414612	Halictidae	Halictinae	Mexalictus	mexicanus	Mexalictus_mexicanus		Mexico			Toluca	15.5 mi E	KU		79.51171112	71	52.24144745	3973981	1598768	40.23%	40.23	19.3	Mexalictus_arizonensis~Halictidae~Halictinae~Halictini	886	690.7023215	0.909999986	18.15358333	8.600000381	13.29999987	169.7591887	23.5	29.76575213	6.537708937	13.02916685	8.426149773	13	Deserts & Xeric Shrublands	c(-99.7	 19.3)
16	SM0392063_Ancylandrena_timberlakei_F_hal_65_2x.jpg	SM0392063	Andrenidae	Andreninae	Ancylandrena	timberlakei	Ancylandrena_timberlakei	gbif:1356671						KU		105.00714	95	69.99198	3568157	1997649	55.99%	55.99	32.57406	Ancylandrena_atoposoma~Andrenidae~Andreninae~Andrenini	178	88.0943	1.0275	19.60958	25.7	22.625	804.1046	41.7	13.341664	4.478408	28.35674	9.746794	13	POINT (-112.86 32.57406)	Deserts & Xeric Shrublands	
17	SM0233314_Protodufourea_eickworti_F_hal_65_3x.jpg	SM0233314	Halictidae	Rophitinae	Protodufourea	eickworti	Protodufourea_eickworti							KU		74.75608063	66	50.82968521	4840109	1733820	35.82%	35.82	32.22167	Protodufourea_parca~Halictidae~Rophitinae~Xeralictini	312	166.4058565	0.849999999	19.33133333	23.89999962	21	746.4461456	38.29999924	17.66352173	5.114429723	27.32116662	8.124038405	13	Deserts & Xeric Shrublands	c(-110.9258	 32.22167)
18	SM0149806_Zacosmia_maculata_F_hal_65_3x.jpg	SM0149806	Apidae	Apinae	Zacosmia	maculata	Zacosmia_maculata							KU		87.35466766	80	59.51790237	5076228	2401878	47.32%	47.32	31.9233333	Zacosmia_maculata~Apidae~Nomadinae~Melectini	279	182.563812	0.763333333	19.72083333	17.60000038	15.71666686	768.112623	35	16.70329309	5.207099767	27.71484481	8.94427191	13	Deserts & Xeric Shrublands	c(-108.3258333	 31.9233333)
19	SEMC1551871_Eremaphanta_fasciata_F_hal_65_4x.jpg	SEMC1551871	Melittidae	Dasypodainae	Eremaphanta	fasciata	Eremaphanta_fasciata							KU		120.0278015	119	70.42713165	4128026	2737412	66.31%	66.31	38.09167	Eremaphanta_iranica~Melittidae~Dasypodainae~Hesperapini	156	117.3959888	0.795000002	17.18425	24.20000076	17.05833348	1089.766128	40.70000076	12.489996	4.76555274	33.01160596	10.90871211	13	Deserts & Xeric Shrublands	c(62.79933	 38.09167)
20	SEMC1376670_Liotrigona_mahafalya_F_hal_65_4x.jpg	SEMC1376670	Apidae	Apinae	Liotrigona	mahafalya	Liotrigona_mahafalya							KU		117.3605194	115	68.30404663	2549649	1969868	77.26%	77.26	23.7	Liotrigona_madecassa~Apidae~Apinae~Meliponini	663	590.3331109	1.889166653	20.12741667	20.89999962	24.4083333	304.4655041	35	25.74878638	6.380686972	17.44893991	10.72380529	13	Deserts & Xeric Shrublands	c(44.7	 -23.7)
21	SEMC1323113_Plesianthidium_fulvopilosum_F_hal_65_1x.jpg	SEMC1323113	Megachilidae	Megachilinae	Plesianthidium	fulvopilosum	Plesianthidium_fulvopilosum		South Africa	Northern Cape		Namaqualand		KU		105.920929	100	69.24755096	3673517	2564675	69.82%	69.82	30	Plesianthidium_rufocaudatum~Megachilidae~Megachilinae~Anthidiini	173	42.94993562	0.837499986	21.26716667	15.10000038	17.49166663	515.6541862	33.20000076	13.15294644	3.760035149	22.70802031	10	13	Deserts & Xeric Shrublands	c(19.4	 -30)
22	SEMC1254732_Ericrocis_pintada_F_hal_65_2x.jpg	SEMC1254732	Apidae	Apinae	Ericrocis	pintada	Ericrocis_pintada		Mexico			Zacatecas		KU		63.6647644	44	59.42351913	6251904	1780570	28.48%	28.48	22.8	Ericrocis_lata~Apidae~Nomadinae~Ericrocidini	467	393.1101704	0.930000017	17.96183333	12	15.67500011	310.0769782	28.20000076	21.61018278	5.974089904	17.60900276	6.633249581	13	Deserts & Xeric Shrublands	c(-103	 22.8)
23	SEMC1179245_Ammobates_cinnamomeus_F_hal_65_2x.jpg	SEMC1179245	Apidae	Nomadinae	Ammobates	cinnamomeus	Ammobates_cinnamomeus	gbif:5039531						KU		119.480705	117	72.09631	5738288	4619030	80.49%	80.49	30.58028	Ammobates_punctatus~Apidae~Nomadinae~Ammobatini	236	156.0497201	0.771666663	19.29216667	22.5	19.37499992	846.5343487	38.09999847	15.3622915	5.050174675	29.09526334	10.81665383	13	Deserts & Xeric Shrublands	c(66.99611	 30.58028)
